District Code,District Name,BLDG. NO.,Building Name,January State FTE F&RL Count,January Membership,2023 F&RL Percentage,Community Eligiblity Provision (CEP) Participating Building,,,,,,,
005-122,EXETER R-VI,4020,EXETER ELEM., 142.50 , 214.50 ,66.40%,,,,,,,,
005-123,CASSVILLE R-IV,1050,CASSVILLE HIGH, 280.00 , 573.00 ,48.90%,,,,,,,,
005-123,CASSVILLE R-IV,3000,CASSVILLE MIDDLE, 217.00 , 418.00 ,51.90%,,,,,,,,
005-123,CASSVILLE R-IV,4020,EUNICE THOMAS ELEM., 236.00 , 380.00 ,62.10%,,,,,,,,
005-123,CASSVILLE R-IV,4030,CASSVILLE INTERMEDIATE, 207.00 , 385.00 ,53.80%,,,,,,,,
005-124,PURDY R-II,1050,PURDY HIGH, 149.00 , 276.00 ,54.00%,,,,,,,,
005-124,PURDY R-II,4020,PURDY ELEM., 183.00 , 311.00 ,58.80%,,,,,,,,
005-127,SHELL KNOB 78,4020,SHELL KNOB ELEM., 120.00 , 120.00 ,100.00%,Yes,,,,,,,
005-128,MONETT R-I,1050,MONETT HIGH, 420.40 , 725.56 ,57.90%,,,,,,,,
005-128,MONETT R-I,3000,MONETT MIDDLE, 333.20 , 500.23 ,66.60%,,,,,,,,
005-128,MONETT R-I,4020,MONETT ELEM., 319.50 , 461.63 ,69.20%,,,,,,,,
005-128,MONETT R-I,4040,MONETT INTERMEDIATE, 222.20 , 333.27 ,66.70%,,,,,,,,
005-128,MONETT R-I,4060,Monett Early Childhood Center, 124.50 , 167.50 ,74.30%,,,,,,,,
006-101,LIBERAL R-II,1050,LIBERAL HIGH, 49.00 , 110.00 ,44.50%,,,,,,,,
006-101,LIBERAL R-II,3000,LIBERAL MIDDLE, 28.00 , 71.00 ,39.40%,,,,,,,,
006-101,LIBERAL R-II,4020,LIBERAL ELEM., 55.00 , 119.00 ,46.20%,,,,,,,,
006-103,GOLDEN CITY R-III,1050,GOLDEN CITY HIGH, 49.00 , 83.00 ,59.00%,,,,,,,,
006-103,GOLDEN CITY R-III,4020,GOLDEN CITY ELEM., 52.00 , 74.00 ,70.30%,,,,,,,,
006-104,LAMAR R-I,1050,LAMAR HIGH, 146.00 , 372.00 ,39.20%,,,,,,,,
006-104,LAMAR R-I,3000,LAMAR MIDDLE, 146.00 , 266.00 ,54.90%,,,,,,,,
006-104,LAMAR R-I,4020,LAMAR ELEM., 152.00 , 272.00 ,55.90%,,,,,,,,
006-104,LAMAR R-I,4040,EAST ELEM., 141.00 , 245.00 ,57.60%,,,,,,,,
007-121,MIAMI R-I,1050,MIAMI HIGH, 25.00 , 82.00 ,30.50%,,,,,,,,
007-121,MIAMI R-I,4020,MIAMI ELEM., 30.00 , 79.00 ,38.00%,,,,,,,,
007-122,BALLARD R-II,1050,BALLARD HIGH, 21.00 , 47.03 ,44.70%,,,,,,,,
007-122,BALLARD R-II,4020,BALLARD ELEM., 27.00 , 54.00 ,50.00%,,,,,,,,
007-123,ADRIAN R-III,1050,ADRIAN SR. HIGH, 83.00 , 411.00 ,20.20%,,,,,,,,
007-123,ADRIAN R-III,4020,ADRIAN ELEM., 78.00 , 296.00 ,26.40%,,,,,,,,
007-124,RICH HILL R-IV,1050,RICH HILL HIGH, 86.00 , 183.00 ,47.00%,,,,,,,,
007-124,RICH HILL R-IV,4020,RICH HILL ELEM., 81.00 , 154.50 ,52.40%,,,,,,,,
007-125,HUME R-VIII,1050,HUME HIGH, 24.00 , 57.00 ,42.10%,,,,,,,,
007-125,HUME R-VIII,4020,HUME ELEM., 34.00 , 52.00 ,65.40%,,,,,,,,
007-126,HUDSON R-IX,4020,HUDSON ELEM., 3.00 , 33.00 ,9.10%,,,,,,,,
007-129,BUTLER R-V,1050,BUTLER HIGH, 219.70 , 497.71 ,44.10%,,,,,,,,
007-129,BUTLER R-V,4020,BUTLER ELEM., 245.30 , 426.54 ,57.50%,,,,,,,,
008-106,LINCOLN R-II,1050,LINCOLN HIGH, 130.30 , 250.26 ,52.00%,,,,,,,,
008-106,LINCOLN R-II,4020,LINCOLN ELEM., 131.30 , 248.32 ,52.90%,Yes,,,,,,,
008-107,WARSAW R-IX,1050,WARSAW HIGH SCHOOL, 365.40 , 365.36 ,100.00%,Yes,,,,,,,
008-107,WARSAW R-IX,3000,JOHN BOISE MIDDLE SCHOOL, 266.00 , 266.02 ,100.00%,Yes,,,,,,,
008-107,WARSAW R-IX,4020,NORTH ELEMENTARY, 339.60 , 339.57 ,100.00%,Yes,,,,,,,
008-107,WARSAW R-IX,4040,SOUTH ELEMENTARY, 206.00 , 206.00 ,100.00%,Yes,,,,,,,
008-111,COLE CAMP R-I,1050,COLE CAMP HIGH, 162.50 , 347.06 ,46.80%,,,,,,,,
008-111,COLE CAMP R-I,4020,COLE CAMP ELEM., 217.30 , 381.28 ,57.00%,,,,,,,,
009-077,MEADOW HEIGHTS R-II,1050,MEADOW HEIGHTS HIGH, 73.10 , 166.88 ,43.80%,,,,,,,,
009-077,MEADOW HEIGHTS R-II,3000,MEADOW HEIGHTS MIDDLE SCHOOL, 48.00 , 104.00 ,46.20%,,,,,,,,
009-077,MEADOW HEIGHTS R-II,4020,MEADOW HEIGHTS ELEM., 108.00 , 199.00 ,54.30%,,,,,,,,
009-078,LEOPOLD R-III,1050,LEOPOLD HIGH, 22.00 , 83.00 ,26.50%,,,,,,,,
009-078,LEOPOLD R-III,4020,LEOPOLD ELEM., 28.00 , 99.00 ,28.30%,,,,,,,,
009-079,ZALMA R-V,1050,ZALMA HIGH, 78.50 , 78.50 ,100.00%,Yes,,,,,,,
009-079,ZALMA R-V,4020,ZALMA ELEM., 92.00 , 92.00 ,100.00%,Yes,,,,,,,
009-080,WOODLAND R-IV,1050,WOODLAND HIGH, 142.00 , 241.10 ,58.90%,,,,,,,,
009-080,WOODLAND R-IV,3000,WOODLAND MIDDLE, 162.70 , 264.65 ,61.50%,,,,,,,,
009-080,WOODLAND R-IV,4040,WOODLAND ELEM., 195.10 , 301.57 ,64.70%,,,,,,,,
010-087,SOUTHERN BOONE CO. R-I,1050,Southern Boone High, 70.40 , 528.69 ,13.30%,,,,,,,,
010-087,SOUTHERN BOONE CO. R-I,3000,SOUTHERN BOONE MIDDLE, 105.00 , 630.25 ,16.70%,,,,,,,,
010-087,SOUTHERN BOONE CO. R-I,4010,SOUTHERN BOONE PRIMARY, 69.00 , 427.25 ,16.10%,,,,,,,,
010-087,SOUTHERN BOONE CO. R-I,4020,SOUTHERN BOONE ELEM., 57.00 , 342.25 ,16.70%,,,,,,,,
010-089,HALLSVILLE R-IV,1050,HALLSVILLE HIGH, 95.00 , 432.97 ,21.90%,,,,,,,,
010-089,HALLSVILLE R-IV,3000,HALLSVILLE MIDDLE, 111.00 , 374.00 ,29.70%,,,,,,,,
010-089,HALLSVILLE R-IV,4020,HALLSVILLE INTERMEDIATE, 95.00 , 346.50 ,27.40%,,,,,,,,
010-089,HALLSVILLE R-IV,4040,HALLSVILLE PRIMARY, 95.40 , 341.90 ,27.90%,,,,,,,,
010-090,STURGEON R-V,1050,STURGEON HIGH, 37.00 , 120.16 ,30.80%,,,,,,,,
010-090,STURGEON R-V,3000,STURGEON MIDDLE, 43.00 , 103.00 ,41.70%,,,,,,,,
010-090,STURGEON R-V,4020,STURGEON ELEMENTARY, 81.00 , 187.00 ,43.30%,,,,,,,,
010-090,STURGEON R-V,8000,MOCA-S, 689.00 ," 1,211.00 ",56.90%,,,,,,,,
010-091,CENTRALIA R-VI,1050,CENTRALIA HIGH, 80.00 , 396.00 ,20.20%,,,,,,,,
010-091,CENTRALIA R-VI,3000,CHESTER BOREN MIDDLE, 81.00 , 299.35 ,27.10%,,,,,,,,
010-091,CENTRALIA R-VI,4020,CHANCE ELEM., 76.00 , 296.36 ,25.60%,,,,,,,,
010-091,CENTRALIA R-VI,4050,CENTRALIA INTERMEDIATE, 87.10 , 310.07 ,28.10%,,,,,,,,
010-092,HARRISBURG R-VIII,1050,HARRISBURG HIGH, 47.50 , 189.50 ,25.10%,,,,,,,,
010-092,HARRISBURG R-VIII,3000,HARRISBURG MIDDLE, 36.00 , 133.00 ,27.10%,,,,,,,,
010-092,HARRISBURG R-VIII,4020,HARRISBURG ELEM., 76.00 , 237.00 ,32.10%,,,,,,,,
010-093,COLUMBIA 93,1015,JUVENILE JUSTICE CTR., 4.00 , 14.00 ,28.60%,,,,,,,,
010-093,COLUMBIA 93,1020,FREDERICK DOUGLASS HIGH, 168.10 , 168.09 ,100.00%,Yes,,,,,,,
010-093,COLUMBIA 93,1050,DAVID H. HICKMAN HIGH, 549.50 ," 1,839.39 ",29.90%,,,,,,,,
010-093,COLUMBIA 93,1060,MURIEL W. BATTLE HIGH SCHOOL, 637.50 ," 1,375.80 ",46.30%,,,,,,,,
010-093,COLUMBIA 93,1075,ROCK BRIDGE SR. HIGH, 322.80 ," 1,848.90 ",17.50%,,,,,,,,
010-093,COLUMBIA 93,2050,JEFFERSON MIDDLE SCHOOL, 180.50 , 610.17 ,29.60%,,,,,,,,
010-093,COLUMBIA 93,2060,OAKLAND MIDDLE SCHOOL, 317.00 , 532.63 ,59.50%,,,,,,,,
010-093,COLUMBIA 93,2075,WEST MIDDLE SCHOOL, 286.70 , 505.39 ,56.70%,,,,,,,,
010-093,COLUMBIA 93,3000,ANN HAWKINS GENTRY MIDDLE, 226.10 , 732.88 ,30.90%,,,,,,,,
010-093,COLUMBIA 93,3040,SMITHTON MIDDLE, 139.10 , 510.61 ,27.20%,,,,,,,,
010-093,COLUMBIA 93,3060,JOHN B. LANGE MIDDLE, 330.90 , 520.21 ,63.60%,,,,,,,,
010-093,COLUMBIA 93,3080,JOHN WARNER MIDDLE SCHOOL, 98.00 , 574.15 ,17.10%,,,,,,,,
010-093,COLUMBIA 93,4020,THOMAS BENTON ELEM., 211.50 , 212.35 ,99.60%,Yes,,,,,,,
010-093,COLUMBIA 93,4030,ALPHA HART LEWIS, 446.90 , 446.90 ,100.00%,Yes,,,,,,,
010-093,COLUMBIA 93,4040,BLUE RIDGE ELEM., 311.00 , 423.69 ,73.40%,,,,,,,,
010-093,COLUMBIA 93,4050,CEDAR RIDGE ELEM., 212.00 , 458.40 ,46.20%,,,,,,,,
010-093,COLUMBIA 93,4055,DERBY RIDGE ELEM., 287.40 , 396.27 ,72.50%,,,,,,,,
010-093,COLUMBIA 93,4060,FAIRVIEW ELEM., 125.40 , 465.48 ,26.90%,,,,,,,,
010-093,COLUMBIA 93,4070,ELIOT BATTLE ELEMENTARY, 251.30 , 383.30 ,65.60%,,,,,,,,
010-093,COLUMBIA 93,5000,ULYSSES S. GRANT ELEM., 126.00 , 341.00 ,37.00%,,,,,,,,
010-093,COLUMBIA 93,5010,MARY PAXTON KEELEY ELEM., 212.00 , 621.02 ,34.10%,,,,,,,,
010-093,COLUMBIA 93,5020,Locust St Expressive Arts Elem, 130.00 , 280.00 ,46.40%,,,,,,,,
010-093,COLUMBIA 93,5025,MIDWAY HEIGHTS ELEM., 53.00 , 256.00 ,20.70%,,,,,,,,
010-093,COLUMBIA 93,5030,MILL CREEK ELEM., 107.00 , 589.04 ,18.20%,,,,,,,,
010-093,COLUMBIA 93,5035,NEW HAVEN ELEM., 155.00 , 241.37 ,64.20%,,,,,,,,
010-093,COLUMBIA 93,5040,PARKADE ELEM., 203.00 , 361.00 ,56.20%,,,,,,,,
010-093,COLUMBIA 93,5050,BEULAH RALPH ELEMENTARY, 133.90 , 661.01 ,20.30%,,,,,,,,
010-093,COLUMBIA 93,5060,JOHN RIDGEWAY ELEM., 26.00 , 224.00 ,11.60%,,,,,,,,
010-093,COLUMBIA 93,5080,ROCK BRIDGE ELEM., 187.00 , 561.85 ,33.30%,,,,,,,,
010-093,COLUMBIA 93,6000,RUSSELL BLVD. ELEM., 73.00 , 453.78 ,16.10%,,,,,,,,
010-093,COLUMBIA 93,6010,SHEPARD BLVD. ELEM., 330.30 , 504.43 ,65.50%,,,,,,,,
010-093,COLUMBIA 93,6020,WEST BLVD. ELEM., 305.90 , 305.88 ,100.00%,Yes,,,,,,,
010-093,COLUMBIA 93,6040,TWO MILE PRAIRIE ELEM., 52.00 , 158.00 ,32.90%,,,,,,,,
010-093,COLUMBIA 93,6080,Eugene Field Center, 0.70 , 10.44 ,6.90%,,,,,,,,
011-076,EAST BUCHANAN CO. C-1,1050,EAST BUCHANAN HIGH, 32.20 , 246.80 ,13.10%,,,,,,,,
011-076,EAST BUCHANAN CO. C-1,3000,EAST BUCHANAN MIDDLE, 39.80 , 170.86 ,23.30%,,,,,,,,
011-076,EAST BUCHANAN CO. C-1,4040,EAST BUCHANAN ELEM., 66.30 , 296.25 ,22.40%,,,,,,,,
011-078,MID-BUCHANAN CO. R-V,1050,MID-BUCHANAN SR. HIGH, 59.00 , 394.00 ,15.00%,,,,,,,,
011-078,MID-BUCHANAN CO. R-V,4020,MID-BUCHANAN ELEM., 72.00 , 410.00 ,17.60%,,,,,,,,
011-079,BUCHANAN CO. R-IV,1050,DEKALB JR.-SR. HIGH, 38.00 , 134.00 ,28.40%,,,,,,,,
011-079,BUCHANAN CO. R-IV,4020,RUSHVILLE ELEM., 54.00 , 134.00 ,40.30%,,,,,,,,
011-082,ST. JOSEPH,1050,BENTON HIGH, 240.00 , 631.25 ,38.00%,,,,,,,,
011-082,ST. JOSEPH,1075,CENTRAL HIGH, 633.30 ," 1,661.25 ",38.10%,,,,,,,,
011-082,ST. JOSEPH,1080,LAFAYETTE HIGH, 696.50 , 696.50 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,3000,ROBIDOUX MIDDLE, 395.00 , 395.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,3010,BODE MIDDLE, 200.00 , 482.00 ,41.50%,,,,,,,,
011-082,ST. JOSEPH,3020,SPRING GARDEN MIDDLE, 478.00 , 478.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,3050,TRUMAN MIDDLE, 470.00 , 470.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4040,EDISON ELEM., 295.00 , 295.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4060,ELLISON ELEM., 155.00 , 361.00 ,42.90%,,,,,,,,
011-082,ST. JOSEPH,4070,CARDEN PARK ELEM, 565.30 , 565.25 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4080,OAK GROVE ELEM, 157.50 , 501.50 ,31.40%,,,,,,,,
011-082,ST. JOSEPH,4100,FIELD ELEM., 136.00 , 269.00 ,50.60%,,,,,,,,
011-082,ST. JOSEPH,4140,COLEMAN ELEM., 360.00 , 360.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4180,HOSEA ELEM., 437.00 , 437.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4220,HYDE ELEM., 363.50 , 363.50 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4260,LINDBERGH ELEM., 495.00 , 495.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4280,MARK TWAIN ELEM., 312.00 , 312.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4390,PARKWAY ELEM., 377.00 , 377.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4400,PERSHING ELEM., 149.00 , 266.00 ,56.00%,,,,,,,,
011-082,ST. JOSEPH,4420,PICKETT ELEM., 300.00 , 300.00 ,100.00%,Yes,,,,,,,
011-082,ST. JOSEPH,4460,SKAITH ELEM., 181.00 , 351.00 ,51.60%,,,,,,,,
011-082,ST. JOSEPH,8000,Virtual Academy, 1.00 , 12.00 ,8.30%,,,,,,,,
012-108,NEELYVILLE R-IV,1050,NEELYVILLE HIGH, 134.00 , 269.00 ,49.80%,,,,,,,,
012-108,NEELYVILLE R-IV,4040,HILLVIEW ELEM., 84.00 , 124.00 ,67.70%,,,,,,,,
012-108,NEELYVILLE R-IV,4060,NEELYVILLE ELEM., 137.00 , 222.00 ,61.70%,,,,,,,,
012-109,POPLAR BLUFF R-I,1050,POPLAR BLUFF HIGH, 705.00 ," 1,375.20 ",51.30%,,,,,,,,
012-109,POPLAR BLUFF R-I,2050,POPLAR BLUFF JR. HIGH, 459.00 , 775.00 ,59.20%,,,,,,,,
012-109,POPLAR BLUFF R-I,4020,EUGENE FIELD ELEM., 271.00 , 271.00 ,100.00%,Yes,,,,,,,
012-109,POPLAR BLUFF R-I,4040,POPLAR BLUFF MIDDLE SCHOOL, 650.00 ," 1,018.40 ",63.80%,,,,,,,,
012-109,POPLAR BLUFF R-I,4080,LAKE ROAD ELEM., 315.00 , 315.00 ,100.00%,Yes,,,,,,,
012-109,POPLAR BLUFF R-I,5020,POPLAR BLUFF KINDERGARTEN CTR., 374.00 , 374.00 ,100.00%,Yes,,,,,,,
012-109,POPLAR BLUFF R-I,5040,OAK GROVE ELEM., 307.20 , 307.20 ,100.00%,Yes,,,,,,,
012-109,POPLAR BLUFF R-I,5060,O'NEAL ELEM., 320.30 , 320.30 ,100.00%,Yes,,,,,,,
012-110,TWIN RIVERS R-X,1050,TWIN RIVERS HIGH, 106.00 , 241.00 ,44.00%,,,,,,,,
012-110,TWIN RIVERS R-X,3000,QULIN MIDDLE, 53.00 , 117.00 ,45.30%,,,,,,,,
012-110,TWIN RIVERS R-X,4040,FISK ELEMENTARY, 229.00 , 332.00 ,69.00%,,,,,,,,
012-110,TWIN RIVERS R-X,4060,QULIN ELEMENTARY, 62.00 , 98.00 ,63.30%,,,,,,,,
013-054,BRECKENRIDGE R-I,1050,BRECKENRIDGE HIGH, 19.00 , 27.00 ,70.40%,,,,,,,,
013-054,BRECKENRIDGE R-I,4020,BRECKENRIDGE ELEM., 23.00 , 26.00 ,88.50%,,,,,,,,
013-055,HAMILTON R-II,1050,PENNEY HIGH, 54.00 , 172.00 ,31.40%,,,,,,,,
013-055,HAMILTON R-II,3000,HAMILTON MIDDLE, 64.00 , 143.50 ,44.60%,,,,,,,,
013-055,HAMILTON R-II,4020,HAMILTON ELEM., 127.50 , 252.50 ,50.50%,,,,,,,,
013-057,NEW YORK R-IV,4020,NEW YORK ELEM., 11.00 , 20.00 ,55.00%,,,,,,,,
013-058,COWGILL R-VI,4020,COWGILL ELEM., 28.00 , 42.00 ,66.70%,,,,,,,,
013-059,POLO R-VII,1050,POLO HIGH, 48.00 , 124.00 ,38.70%,,,,,,,,
013-059,POLO R-VII,3000,POLO MIDDLE, 36.00 , 104.00 ,34.60%,,,,,,,,
013-059,POLO R-VII,4020,POLO ELEM., 59.00 , 112.00 ,52.70%,,,,,,,,
013-060,MIRABILE C-1,4020,MIRABILE ELEM., 8.00 , 37.00 ,21.60%,,,,,,,,
013-061,BRAYMER C-4,1050,BRAYMER HIGH, 36.00 , 130.00 ,27.70%,,,,,,,,
013-061,BRAYMER C-4,4020,BRAYMER ELEM., 52.00 , 115.00 ,45.20%,,,,,,,,
013-062,KINGSTON 42,4020,KINGSTON ELEM., 29.00 , 32.00 ,90.60%,Yes,,,,,,,
014-126,NORTH CALLAWAY CO. R-I,1050,NORTH CALLAWAY HIGH, 120.10 , 334.98 ,35.90%,,,,,,,,
014-126,NORTH CALLAWAY CO. R-I,3000,NORTH CALLAWAY MIDDLE SCHOOL, 96.40 , 239.91 ,40.20%,,,,,,,,
014-126,NORTH CALLAWAY CO. R-I,4040,HATTON-MCCREDIE ELEM., 100.00 , 244.00 ,41.00%,,,,,,,,
014-126,NORTH CALLAWAY CO. R-I,4060,WILLIAMSBURG ELEM., 87.00 , 174.00 ,50.00%,,,,,,,,
014-127,NEW BLOOMFIELD R-III,1050,NEW BLOOMFIELD HIGH, 114.10 , 293.14 ,38.90%,,,,,,,,
014-127,NEW BLOOMFIELD R-III,4020,NEW BLOOMFIELD ELEM., 129.50 , 354.02 ,36.60%,,,,,,,,
014-129,FULTON 58,1050,FULTON SR. HIGH, 268.70 , 618.05 ,43.50%,,,,,,,,
014-129,FULTON 58,3000,FULTON MIDDLE, 249.80 , 491.40 ,50.80%,,,,,,,,
014-129,FULTON 58,4010,BARTLEY ELEM., 114.00 , 248.30 ,45.90%,,,,,,,,
014-129,FULTON 58,4020,BUSH ELEM., 203.00 , 363.05 ,55.90%,,,,,,,,
014-129,FULTON 58,4080,MCINTIRE ELEM., 222.30 , 356.29 ,62.40%,,,,,,,,
014-130,SOUTH CALLAWAY CO. R-II,1050,SOUTH CALLAWAY HIGH, 74.00 , 236.60 ,31.30%,,,,,,,,
014-130,SOUTH CALLAWAY CO. R-II,3000,SOUTH CALLAWAY MIDDLE, 66.00 , 177.00 ,37.30%,,,,,,,,
014-130,SOUTH CALLAWAY CO. R-II,4010,SOUTH CALLAWAY EARLY CHD PK-02, 47.50 , 156.45 ,30.30%,,,,,,,,
014-130,SOUTH CALLAWAY CO. R-II,4020,SOUTH CALLAWAY ELEM., 57.00 , 171.00 ,33.30%,,,,,,,,
014-400,MO SCHOOL FOR THE DEAF,1050,WHEELER HIGH, 11.00 , 14.00 ,78.60%,,,,,,,,
014-400,MO SCHOOL FOR THE DEAF,3000,WHEELER MIDDLE, 11.00 , 12.00 ,91.70%,,,,,,,,
014-400,MO SCHOOL FOR THE DEAF,4020,STARK ELEM., 13.00 , 25.00 ,52.00%,,,,,,,,
015-001,STOUTLAND R-II,1050,STOUTLAND HIGH, 95.00 , 163.00 ,58.30%,,,,,,,,
015-001,STOUTLAND R-II,4020,STOUTLAND ELEMENTARY, 139.00 , 201.00 ,69.20%,,,,,,,,
015-002,CAMDENTON R-III,1015,JUVENILE JUSTICE CENTER, -   , 3.00 ,0.00%,,,,,,,,
015-002,CAMDENTON R-III,1050,CAMDENTON HIGH, 490.30 ," 1,227.08 ",40.00%,,,,,,,,
015-002,CAMDENTON R-III,3000,CAMDENTON MIDDLE, 264.50 , 616.53 ,42.90%,,,,,,,,
015-002,CAMDENTON R-III,4020,DOGWOOD ELEMENTARY, 260.60 , 546.97 ,47.70%,,,,,,,,
015-002,CAMDENTON R-III,4030,OAK RIDGE INTERMEDIATE, 230.10 , 555.24 ,41.40%,,,,,,,,
015-002,CAMDENTON R-III,4040,HURRICANE DECK ELEMENTARY, 91.00 , 154.00 ,59.10%,,,,,,,,
015-002,CAMDENTON R-III,4050,HAWTHORN ELEMENTARY, 171.70 , 373.72 ,45.90%,,,,,,,,
015-002,CAMDENTON R-III,4080,OSAGE BEACH ELEMENTARY, 94.00 , 235.00 ,40.00%,,,,,,,,
015-003,CLIMAX SPRINGS R-IV,1050,CLIMAX SPRINGS HIGH, 54.00 , 100.00 ,54.00%,,,,,,,,
015-003,CLIMAX SPRINGS R-IV,4020,ELEMENTARY SCHOOL, 71.00 , 103.00 ,68.90%,,,,,,,,
015-004,MACKS CREEK R-V,1050,MACKS CREEK HIGH, 75.00 , 143.00 ,52.40%,,,,,,,,
015-004,MACKS CREEK R-V,4020,MACKS CREEK ELEM., 82.00 , 167.00 ,49.10%,,,,,,,,
016-090,JACKSON R-II,1050,JACKSON SR. HIGH, 462.80 ," 1,605.35 ",28.80%,,,,,,,,
