YEAR,CATEGORY,TYPE,DISTRICT_NAME,CONTENT_AREA,BELOW_BASIC_PCT,BASIC_PCT,PROFICIENT_PCT,ADVANCED_PCT
2023,MSIP Total ,Total,KIRKSVILLE R-III,Social Studies,2.9,49.4,44.1,3.5
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-II,Eng. Language Arts,8.1,51.6,19.4,21
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-II,Mathematics,*,36.9,32.3,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-II,Science,*,46.2,26.9,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-II,Social Studies,*,52.9,35.3,*
2023,MSIP Special Programs ,IEP Students,ADAIR CO. R-II,Eng. Language Arts,*,72.7,*,*
2023,MSIP Special Programs ,IEP Students,ADAIR CO. R-II,Mathematics,*,*,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-II,Eng. Language Arts,*,62.5,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-II,Mathematics,*,43.8,50,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-II,Science,*,*,*,*
2023,MSIP Special Programs ,Student Group,ADAIR CO. R-II,Eng. Language Arts,*,76.9,*,*
2023,MSIP Special Programs ,Student Group,ADAIR CO. R-II,Mathematics,*,42.9,*,*
2023,MSIP Total ,Total,ADAIR CO. R-II,Eng. Language Arts,7.8,53.1,18.8,20.3
2023,MSIP Total ,Total,ADAIR CO. R-II,Mathematics,*,37.3,31.3,*
2023,MSIP Total ,Total,ADAIR CO. R-II,Science,*,44.4,25.9,*
2023,MSIP Total ,Total,ADAIR CO. R-II,Social Studies,*,52.6,36.8,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),NORTH ANDREW CO. R-VI,Eng. Language Arts,10.7,36.5,30.2,22.6
2023,MSIP Race/Ethnicity ,White (not Hispanic),NORTH ANDREW CO. R-VI,Mathematics,12.2,25.6,32.7,29.5
2023,MSIP Race/Ethnicity ,White (not Hispanic),NORTH ANDREW CO. R-VI,Science,15.7,41.4,17.1,25.7
2023,MSIP Race/Ethnicity ,White (not Hispanic),NORTH ANDREW CO. R-VI,Social Studies,*,76.5,17.7,*
2023,MSIP Special Programs ,IEP Students,NORTH ANDREW CO. R-VI,Eng. Language Arts,*,50,27.8,*
2023,MSIP Special Programs ,IEP Students,NORTH ANDREW CO. R-VI,Mathematics,31.6,36.8,*,*
2023,MSIP Special Programs ,IEP Students,NORTH ANDREW CO. R-VI,Science,*,*,*,*
2023,MSIP Special Programs ,IEP Students,NORTH ANDREW CO. R-VI,Social Studies,*,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,NORTH ANDREW CO. R-VI,Eng. Language Arts,*,50,*,*
2023,MSIP Special Programs ,MAP Direct Certification,NORTH ANDREW CO. R-VI,Mathematics,*,35,30,*
2023,MSIP Special Programs ,MAP Direct Certification,NORTH ANDREW CO. R-VI,Science,*,55.6,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,NORTH ANDREW CO. R-VI,Eng. Language Arts,14,37.2,30.2,18.6
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,NORTH ANDREW CO. R-VI,Mathematics,18.2,25,27.3,29.6
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,NORTH ANDREW CO. R-VI,Science,*,58.8,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,NORTH ANDREW CO. R-VI,Social Studies,*,*,*,*
2023,MSIP Special Programs ,Student Group,NORTH ANDREW CO. R-VI,Eng. Language Arts,*,50,22.2,*
2023,MSIP Special Programs ,Student Group,NORTH ANDREW CO. R-VI,Mathematics,21.6,37.8,21.6,18.9
2023,MSIP Special Programs ,Student Group,NORTH ANDREW CO. R-VI,Science,40,46.7,*,*
2023,MSIP Special Programs ,Student Group,NORTH ANDREW CO. R-VI,Social Studies,*,*,*,*
2023,MSIP Total ,Total,NORTH ANDREW CO. R-VI,Eng. Language Arts,10.6,36.3,30,23.1
2023,MSIP Total ,Total,NORTH ANDREW CO. R-VI,Mathematics,12.1,25.5,32.5,29.9
2023,MSIP Total ,Total,NORTH ANDREW CO. R-VI,Science,15.7,41.4,17.1,25.7
2023,MSIP Total ,Total,NORTH ANDREW CO. R-VI,Social Studies,*,77.1,17.1,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),AVENUE CITY R-IX,Eng. Language Arts,6.5,25,37.9,30.7
2023,MSIP Race/Ethnicity ,White (not Hispanic),AVENUE CITY R-IX,Mathematics,8.1,25.8,38.7,27.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),AVENUE CITY R-IX,Science,*,24.4,43.9,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),AVENUE CITY R-IX,Social Studies,*,33.3,61.1,*
2023,MSIP Special Programs ,IEP Students,AVENUE CITY R-IX,Eng. Language Arts,33.3,55.6,*,*
2023,MSIP Special Programs ,IEP Students,AVENUE CITY R-IX,Mathematics,50,33.3,*,*
2023,MSIP Special Programs ,IEP Students,AVENUE CITY R-IX,Science,*,75,*,*
2023,MSIP Special Programs ,MAP Direct Certification,AVENUE CITY R-IX,Eng. Language Arts,*,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,AVENUE CITY R-IX,Mathematics,*,55.6,*,*
2023,MSIP Special Programs ,MAP Direct Certification,AVENUE CITY R-IX,Science,*,*,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,AVENUE CITY R-IX,Eng. Language Arts,*,50,31.3,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,AVENUE CITY R-IX,Mathematics,*,56.3,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,AVENUE CITY R-IX,Science,*,50,*,*
2023,MSIP Special Programs ,Student Group,AVENUE CITY R-IX,Eng. Language Arts,26.9,46.2,*,*
2023,MSIP Special Programs ,Student Group,AVENUE CITY R-IX,Mathematics,38.5,38.5,*,*
2023,MSIP Special Programs ,Student Group,AVENUE CITY R-IX,Science,*,72.7,*,*
2023,MSIP Total ,Total,AVENUE CITY R-IX,Eng. Language Arts,6.2,25.4,36.9,31.5
2023,MSIP Total ,Total,AVENUE CITY R-IX,Mathematics,8.5,25.4,36.9,29.2
2023,MSIP Total ,Total,AVENUE CITY R-IX,Science,*,26.2,42.9,*
2023,MSIP Total ,Total,AVENUE CITY R-IX,Social Studies,*,33.3,61.1,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),SAVANNAH R-III,Eng. Language Arts,29.4,35.3,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),SAVANNAH R-III,Mathematics,*,46.7,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),SAVANNAH R-III,Science,*,*,*,*
2023,MSIP Race/Ethnicity ,Hispanic,SAVANNAH R-III,Eng. Language Arts,*,43.6,30.8,*
2023,MSIP Race/Ethnicity ,Hispanic,SAVANNAH R-III,Mathematics,*,48.8,22,*
2023,MSIP Race/Ethnicity ,Hispanic,SAVANNAH R-III,Science,*,*,*,*
2023,MSIP Race/Ethnicity ,Hispanic,SAVANNAH R-III,Social Studies,*,71.4,*,*
2023,MSIP Race/Ethnicity ,Multiracial,SAVANNAH R-III,Eng. Language Arts,*,41.4,27.6,*
2023,MSIP Race/Ethnicity ,Multiracial,SAVANNAH R-III,Mathematics,28.1,43.8,*,*
2023,MSIP Race/Ethnicity ,Multiracial,SAVANNAH R-III,Science,41.7,41.7,*,*
2023,MSIP Race/Ethnicity ,Multiracial,SAVANNAH R-III,Social Studies,*,*,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),SAVANNAH R-III,Eng. Language Arts,11.8,38.9,29.3,20.1
2023,MSIP Race/Ethnicity ,White (not Hispanic),SAVANNAH R-III,Mathematics,21.5,34.9,24,19.6
2023,MSIP Race/Ethnicity ,White (not Hispanic),SAVANNAH R-III,Science,14.5,39.7,32.5,13.2
2023,MSIP Race/Ethnicity ,White (not Hispanic),SAVANNAH R-III,Social Studies,*,53.3,38.7,*
2023,MSIP Special Programs ,EL students,SAVANNAH R-III,Mathematics,*,*,*,*
2023,MSIP Special Programs ,IEP Students,SAVANNAH R-III,Eng. Language Arts,46.9,44.2,*,*
2023,MSIP Special Programs ,IEP Students,SAVANNAH R-III,Mathematics,61.9,31.7,*,*
2023,MSIP Special Programs ,IEP Students,SAVANNAH R-III,Science,56.9,33.3,*,*
2023,MSIP Special Programs ,IEP Students,SAVANNAH R-III,Social Studies,*,75,*,*
2023,MSIP Special Programs ,MAP Direct Certification,SAVANNAH R-III,Eng. Language Arts,21.6,41.9,28.4,8.1
2023,MSIP Special Programs ,MAP Direct Certification,SAVANNAH R-III,Mathematics,33,34.8,24.8,7.4
2023,MSIP Special Programs ,MAP Direct Certification,SAVANNAH R-III,Science,29.6,42,19.8,8.6
2023,MSIP Special Programs ,MAP Direct Certification,SAVANNAH R-III,Social Studies,*,72.7,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,SAVANNAH R-III,Eng. Language Arts,19.6,42.4,27.2,10.7
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,SAVANNAH R-III,Mathematics,29.1,39.6,21.1,10.3
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,SAVANNAH R-III,Science,22,45.5,24.2,8.3
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,SAVANNAH R-III,Social Studies,*,64.7,*,*
2023,MSIP Special Programs ,Student Group,SAVANNAH R-III,Eng. Language Arts,27.1,43.7,22.7,6.6
2023,MSIP Special Programs ,Student Group,SAVANNAH R-III,Mathematics,38.4,35.9,19.7,6
2023,MSIP Special Programs ,Student Group,SAVANNAH R-III,Science,34.4,40.5,17.6,7.6
2023,MSIP Special Programs ,Student Group,SAVANNAH R-III,Social Studies,16.1,74.2,*,*
2023,MSIP Total ,Total,SAVANNAH R-III,Eng. Language Arts,12.6,39.1,29.1,19.2
2023,MSIP Total ,Total,SAVANNAH R-III,Mathematics,21.7,35.7,23.7,18.9
2023,MSIP Total ,Total,SAVANNAH R-III,Science,16,39.7,31.3,13
2023,MSIP Total ,Total,SAVANNAH R-III,Social Studies,5.8,55.2,35.7,3.3
2023,MSIP Race/Ethnicity ,Hispanic,TARKIO R-I,Eng. Language Arts,*,83.3,*,*
2023,MSIP Race/Ethnicity ,Hispanic,TARKIO R-I,Mathematics,*,*,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),TARKIO R-I,Eng. Language Arts,15.3,43.3,29.3,12.1
2023,MSIP Race/Ethnicity ,White (not Hispanic),TARKIO R-I,Mathematics,23.7,42.3,23.7,10.3
2023,MSIP Race/Ethnicity ,White (not Hispanic),TARKIO R-I,Science,*,43.9,29.8,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),TARKIO R-I,Social Studies,*,73.7,*,*
2023,MSIP Special Programs ,IEP Students,TARKIO R-I,Eng. Language Arts,37.5,54.2,*,*
2023,MSIP Special Programs ,IEP Students,TARKIO R-I,Mathematics,61.5,26.9,*,*
2023,MSIP Special Programs ,IEP Students,TARKIO R-I,Science,*,71.4,*,*
2023,MSIP Special Programs ,MAP Direct Certification,TARKIO R-I,Eng. Language Arts,29.7,62.2,*,*
2023,MSIP Special Programs ,MAP Direct Certification,TARKIO R-I,Mathematics,37.5,52.5,*,*
2023,MSIP Special Programs ,MAP Direct Certification,TARKIO R-I,Science,*,66.7,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,TARKIO R-I,Eng. Language Arts,22.5,53.8,17.5,6.3
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,TARKIO R-I,Mathematics,32.1,46.9,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,TARKIO R-I,Science,*,51.9,25.9,*
2023,MSIP Special Programs ,Student Group,TARKIO R-I,Eng. Language Arts,30.9,56.4,*,*
2023,MSIP Special Programs ,Student Group,TARKIO R-I,Mathematics,37.3,45.8,*,*
2023,MSIP Special Programs ,Student Group,TARKIO R-I,Science,*,76.5,*,*
2023,MSIP Total ,Total,TARKIO R-I,Eng. Language Arts,15.5,44.1,28.6,11.9
2023,MSIP Total ,Total,TARKIO R-I,Mathematics,23.8,42.3,24.4,9.5
2023,MSIP Total ,Total,TARKIO R-I,Science,*,46.8,27.4,*
2023,MSIP Total ,Total,TARKIO R-I,Social Studies,*,73.7,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),ROCK PORT R-II,Eng. Language Arts,8.7,37.7,38.8,14.8
2023,MSIP Race/Ethnicity ,White (not Hispanic),ROCK PORT R-II,Mathematics,14,33.1,29.7,23.3
2023,MSIP Race/Ethnicity ,White (not Hispanic),ROCK PORT R-II,Science,9.2,41.5,29.2,20
2023,MSIP Race/Ethnicity ,White (not Hispanic),ROCK PORT R-II,Social Studies,*,52.4,42.9,*
2023,MSIP Special Programs ,IEP Students,ROCK PORT R-II,Eng. Language Arts,23.8,52.4,*,*
2023,MSIP Special Programs ,IEP Students,ROCK PORT R-II,Mathematics,57.9,26.3,*,*
2023,MSIP Special Programs ,IEP Students,ROCK PORT R-II,Science,*,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,ROCK PORT R-II,Eng. Language Arts,*,57.7,26.9,*
2023,MSIP Special Programs ,MAP Direct Certification,ROCK PORT R-II,Mathematics,*,56.5,21.7,*
2023,MSIP Special Programs ,MAP Direct Certification,ROCK PORT R-II,Science,*,71.4,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ROCK PORT R-II,Eng. Language Arts,*,52.4,34.9,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ROCK PORT R-II,Mathematics,*,54.6,21.8,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ROCK PORT R-II,Science,*,58.3,20.8,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ROCK PORT R-II,Social Studies,*,*,*,*
2023,MSIP Special Programs ,Student Group,ROCK PORT R-II,Eng. Language Arts,*,51.1,24.4,*
2023,MSIP Special Programs ,Student Group,ROCK PORT R-II,Mathematics,29.3,48.8,*,*
2023,MSIP Special Programs ,Student Group,ROCK PORT R-II,Science,*,52.9,*,*
2023,MSIP Special Programs ,Student Group,ROCK PORT R-II,Social Studies,*,*,*,*
2023,MSIP Total ,Total,ROCK PORT R-II,Eng. Language Arts,9,37.6,39.2,14.3
2023,MSIP Total ,Total,ROCK PORT R-II,Mathematics,13.5,34.3,29.2,23
2023,MSIP Total ,Total,ROCK PORT R-II,Science,9,41.8,29.9,19.4
2023,MSIP Total ,Total,ROCK PORT R-II,Social Studies,*,52.4,42.9,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),FAIRFAX R-III,Eng. Language Arts,9.1,37.7,39,14.3
2023,MSIP Race/Ethnicity ,White (not Hispanic),FAIRFAX R-III,Mathematics,10.3,32.4,27.9,29.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),FAIRFAX R-III,Science,*,43.6,28.2,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),FAIRFAX R-III,Social Studies,*,*,61.5,*
2023,MSIP Special Programs ,IEP Students,FAIRFAX R-III,Eng. Language Arts,*,*,*,*
2023,MSIP Special Programs ,IEP Students,FAIRFAX R-III,Mathematics,*,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,FAIRFAX R-III,Eng. Language Arts,*,47.1,35.3,*
2023,MSIP Special Programs ,MAP Direct Certification,FAIRFAX R-III,Mathematics,*,46.7,33.3,*
2023,MSIP Special Programs ,MAP Direct Certification,FAIRFAX R-III,Science,*,66.7,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,FAIRFAX R-III,Eng. Language Arts,*,47.1,26.5,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,FAIRFAX R-III,Mathematics,*,51.7,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,FAIRFAX R-III,Science,*,50,25,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,FAIRFAX R-III,Social Studies,*,*,*,*
2023,MSIP Special Programs ,Student Group,FAIRFAX R-III,Eng. Language Arts,*,52.2,26.1,*
2023,MSIP Special Programs ,Student Group,FAIRFAX R-III,Mathematics,*,50,27.8,*
2023,MSIP Special Programs ,Student Group,FAIRFAX R-III,Science,*,50,*,*
2023,MSIP Special Programs ,Student Group,FAIRFAX R-III,Social Studies,*,*,*,*
2023,MSIP Total ,Total,FAIRFAX R-III,Eng. Language Arts,8.9,39.2,38,13.9
2023,MSIP Total ,Total,FAIRFAX R-III,Mathematics,10.1,33.3,27.5,29
2023,MSIP Total ,Total,FAIRFAX R-III,Science,12.5,42.5,27.5,17.5
2023,MSIP Total ,Total,FAIRFAX R-III,Social Studies,*,*,57.1,*
2023,MSIP Race/Ethnicity ,Multiracial,COMMUNITY R-VI,Eng. Language Arts,*,*,*,*
2023,MSIP Race/Ethnicity ,Multiracial,COMMUNITY R-VI,Mathematics,*,*,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),COMMUNITY R-VI,Eng. Language Arts,17.8,38.5,27.4,16.3
2023,MSIP Race/Ethnicity ,White (not Hispanic),COMMUNITY R-VI,Mathematics,24.2,32.6,23.5,19.7
2023,MSIP Race/Ethnicity ,White (not Hispanic),COMMUNITY R-VI,Science,16.7,40.7,22.2,20.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),COMMUNITY R-VI,Social Studies,*,82.1,*,*
2023,MSIP Special Programs ,IEP Students,COMMUNITY R-VI,Eng. Language Arts,59.1,*,*,*
2023,MSIP Special Programs ,IEP Students,COMMUNITY R-VI,Mathematics,77.3,*,*,*
2023,MSIP Special Programs ,IEP Students,COMMUNITY R-VI,Science,60,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,COMMUNITY R-VI,Eng. Language Arts,29,42.1,*,*
2023,MSIP Special Programs ,MAP Direct Certification,COMMUNITY R-VI,Mathematics,41.7,38.9,*,*
2023,MSIP Special Programs ,MAP Direct Certification,COMMUNITY R-VI,Science,*,42.9,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,COMMUNITY R-VI,Eng. Language Arts,24.2,36.4,25.8,13.6
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,COMMUNITY R-VI,Mathematics,34.3,32.8,14.9,17.9
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,COMMUNITY R-VI,Science,28,36,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,COMMUNITY R-VI,Social Studies,*,71.4,*,*
2023,MSIP Special Programs ,Student Group,COMMUNITY R-VI,Eng. Language Arts,32.8,48.3,*,*
2023,MSIP Special Programs ,Student Group,COMMUNITY R-VI,Mathematics,50,30.4,*,*
2023,MSIP Special Programs ,Student Group,COMMUNITY R-VI,Science,33.3,38.1,*,*
2023,MSIP Special Programs ,Student Group,COMMUNITY R-VI,Social Studies,*,*,*,*
2023,MSIP Total ,Total,COMMUNITY R-VI,Eng. Language Arts,17.1,41.8,25.3,15.8
2023,MSIP Total ,Total,COMMUNITY R-VI,Mathematics,25.2,31.5,23.1,20.3
2023,MSIP Total ,Total,COMMUNITY R-VI,Science,15.8,42.1,22.8,19.3
2023,MSIP Total ,Total,COMMUNITY R-VI,Social Studies,*,82.8,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),VAN-FAR R-I,Eng. Language Arts,60,*,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),VAN-FAR R-I,Mathematics,58.3,*,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),VAN-FAR R-I,Science,*,*,*,*
2023,MSIP Race/Ethnicity ,Hispanic,VAN-FAR R-I,Eng. Language Arts,*,62.5,*,*
2023,MSIP Race/Ethnicity ,Hispanic,VAN-FAR R-I,Mathematics,*,*,*,*
2023,MSIP Race/Ethnicity ,Multiracial,VAN-FAR R-I,Eng. Language Arts,28.6,42.9,*,*
2023,MSIP Race/Ethnicity ,Multiracial,VAN-FAR R-I,Mathematics,35,35,*,*
2023,MSIP Race/Ethnicity ,Multiracial,VAN-FAR R-I,Science,60,*,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),VAN-FAR R-I,Eng. Language Arts,15.9,50,22.7,11.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),VAN-FAR R-I,Mathematics,19.8,33.8,32,14.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),VAN-FAR R-I,Science,22.9,45.8,21.9,9.4
2023,MSIP Race/Ethnicity ,White (not Hispanic),VAN-FAR R-I,Social Studies,*,75.9,*,*
2023,MSIP Special Programs ,IEP Students,VAN-FAR R-I,Eng. Language Arts,43.9,43.9,*,*
